Recorded,StreetName,dog_foul,vandalism,graffiti,weeds,detritus,fly_posting,bin_count,number_overflowing,smoking,drinks,confectionary,fast_food,pedestrian_individual,business,domestic,construction,animal_faeces,other
11/06/2008,Salveson Crescent,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
11/06/2008,West Pilton Crescent,2,3,2,3,3,1,0,0,1,1,1,1,1,0,1,1,1,1
11/06/2008,Boswell Crescent,2,1,1,3,1,1,0,0,1,0,1,0,1,0,0,0,1,0
18/08/2008,COWGATE,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
18/08/2008,KEIR STREET,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
18/08/2008,VICTORIA STREET AND STEPS,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,WHITEHOUSE CLOSE,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
18/08/2008,BARCLAY TERRACE,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
18/08/2008,BRUNTSFIELD PLACE,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
18/08/2008,CRAWFORD ROAD,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
18/08/2008,HARDWELL CLOSE,1,1,1,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0
18/08/2008,HIGH SCHOOL WYND,1,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0
18/08/2008,HIGH SCHOOL YARDS,1,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0
18/08/2008,JANE TERRACE,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
18/08/2008,MENTONE AVENUE,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
18/08/2008,NIDDRIE HOUSE AVENUE,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
18/08/2008,PIERSFIELD GROVE,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
18/08/2008,RICHMOND LANE,1,1,1,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0
18/08/2008,ABERCORN ROAD,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
18/08/2008,BLACKET PLACE,1,1,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0
18/08/2008,BUCKSTONE GATE,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,CRAIGHOUSE TERRACE,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,EDEN LANE,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,HATTON PLACE,1,1,1,2,3,1,0,0,1,1,1,0,1,0,0,0,0,0
18/08/2008,LASSWADE BANK,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
18/08/2008,LOGANLEA TERRACE,1,1,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0
18/08/2008,MILTON STREET,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
18/08/2008,NETHER CRAIGOUR,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,MOSTON TERRACE,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,NELLFIELD,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
18/08/2008,NORTHFIELD CRESCENT,1,1,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0
18/08/2008,PITSLIGO ROAD,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,ROBERT BURNS DRIVE,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
18/08/2008,SEAFIELD PLACE,1,1,1,1,2,1,1,0,1,1,1,0,1,0,0,0,0,0
18/08/2008,ST MARGARET'S ROAD,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
18/08/2008,ULSTER GARDENS,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,WEST POWERBURN,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0
18/08/2008,MAYFIELD GARDENS LANE,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
18/08/2008,ROYAL CIRCUS,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2008,Orchard Road,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
19/08/2008,Comely Bank Row,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2008,East Fettes Avenue,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,1,0,0
19/08/2008,Pilton Drive,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
19/08/2008,Boswall Quadrant,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2008,Bangholm Avenue,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
19/08/2008,Albert Street,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
19/08/2008,Spey Street,2,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,1,0
19/08/2008,Dryden Street,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
19/08/2008,Spiers Place,2,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,1,0
19/08/2008,Prospect Bank Crescent,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,1
19/08/2008,Dean path Buildings,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0
19/08/2008,Kirkgate,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
19/08/2008,Warriston Farm Road,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
18/08/2008,BROOMHOUSE ROW,2,2,2,3,3,1,0,0,1,1,1,0,1,0,0,0,1,0
18/08/2008,SHANDON PLACE,2,1,1,2,2,1,0,0,1,0,1,1,1,0,0,0,1,0
18/08/2008,ARNOTT GARDENS,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,BABERTON MAINS ROW,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,CARRICK KNOWE PLACE,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,CLERMISTON GREEN,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
18/08/2008,COLINTON MAINS GROVE,2,1,1,2,2,1,1,0,1,1,1,0,1,0,0,0,1,0
18/08/2008,CORSTORPHINE HILL AVENUE,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,FEATHERHALL CRESCENT SOUTH,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
18/08/2008,HILLPARK COURT,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,INCHKEITH AVENUE,2,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,1,0
18/08/2008,LONGSTONE VIEW,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,MARCHBANK GARDENS,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
18/08/2008,MEARENSIDE,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,NORTH BUGHTLIN BRAE,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,OXGANGS MEDWAY,1,1,1,3,3,1,0,0,0,0,1,0,1,0,0,0,0,0
18/08/2008,PARKHEAD GARDENS,1,1,1,2,3,1,0,0,1,0,1,0,1,0,0,0,0,0
18/08/2008,RANNOCH PLACE,1,1,1,3,3,1,0,0,0,1,1,0,1,0,0,0,0,0
18/08/2008,REDFORD PLACE,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,ROULL ROAD,1,1,1,3,3,1,0,0,1,1,0,0,1,0,0,0,0,0
18/08/2008,SAUGHTON MAINS STREET,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,1,0,0
18/08/2008,SILVERKNOWES COURT,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,SILVERKNOWES PLACE,2,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0
18/08/2008,SOUTH GILLSLAND ROAD,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,SPYLAW BANK ROAD,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2008,STENHOUSE AVENUE,1,1,1,3,3,1,0,0,1,0,1,0,1,0,0,0,0,0
18/08/2008,STEWART PLACE,1,1,1,2,2,1,0,0,1,0,1,0,1,1,1,1,1,1
18/08/2008,SWANSTON ROAD,1,1,1,3,3,1,0,0,1,1,0,1,1,0,0,0,0,0
18/08/2008,STONEYCROFT ROAD,1,1,1,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0
18/08/2008,TORDUFF ROAD,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
14/10/2008,Broomhouse Gardens East,2,1,1,2,2,1,0,0,1,0,0,1,1,0,0,0,1,0
14/10/2008,Murieston Place,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
14/10/2008,Northcote Street,1,1,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0
14/10/2008,Gilmore Park,1,1,3,3,2,1,0,0,1,1,1,1,1,0,0,0,0,0
14/10/2008,Harrison Place,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
14/10/2008,Shaftesbury Park,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
14/10/2008,Hallcroft Gardens,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,1
14/10/2008,Calder Place,1,2,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
14/10/2008,Sighthill Park,1,1,1,2,2,1,0,0,1,1,1,1,1,0,0,0,0,0
14/10/2008,Hailes Park,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
14/10/2008,Peatville Terrace,1,1,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0
14/10/2008,Baberton Mains Wynd,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15/10/2008,Redford Road,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
15/10/2008,Torduff Road,1,1,1,1,2,1,0,0,1,1,0,1,1,0,0,0,0,0
15/10/2008,Dreghorn Park,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
15/10/2008,Galachlaw Shot,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
15/10/2008,Newton Street,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0
15/10/2008,Newmills Road,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
14/10/2008,Dalmahoy Crescent,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
14/10/2008,Larchfield,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
14/10/2008,Stewart Place,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
14/10/2008,Kirkgate Currie,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
21/10/2008,Bowling Green Road,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
21/10/2008,Kerr Street,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
21/10/2008,Arrol Place,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0
21/10/2008,Braehead Drive,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
21/10/2008,Corbiehill Road,2,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0
21/10/2008,Dundas Place,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21/10/2008,High Street South Queensferry,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21/10/2008,Ingarvie Court,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
21/10/2008,John Mason Court,1,1,1,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0
21/10/2008,Loch Road,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
21/10/2008,Path Brae,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
21/10/2008,Bankhead Road,2,1,1,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0
