153,Haughhead Farm,EH1 3EG,6,55.953252,-3.188267,17/06/2009,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
154,Echline Gardens,EH30 9UT,14,55.9874239,-3.4145654,24/06/2010,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
155,North Street Ratho,EH28 8RR,10,55.9215719,-3.3842281,10/06/2010,3,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
156,Maxwell Street,EH10 5HU,3,55.9261476,-3.2119207,09/10/2008,2,1,1,1,2,2,1,2,0,1,0,0,0,1,0,0,0,0,0
157,Campbell Park Drive,EH13 0HS,5,55.9031289,-3.2711748,29/10/2010,3,1,1,1,2,3,1,0,0,1,0,1,0,1,0,0,0,0,0
158,Cleikiminrig,EH15 3QZ,11,55.9327371,-3.1099153,24/06/2008,3,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0
159,Spa Place,EH15 1TR,11,55.9553703,-3.114449,29/10/2009,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
160,Bingham Avenue,EH15 3JB,11,55.9398464,-3.1223339,08/09/2009,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
161,Hillview Road,EH12 8QF,15,55.9475673,-3.2879445,09/09/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
162,Beresford Place,EH5 3SL,7,55.975353,-3.2037314,29/04/2010,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
163,Kirk Cramond,EH4 6NS,14,55.9781653,-3.2995667,12/06/2009,3,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
164,Craigleith Hill,EH4 2EG,4,55.9568962,-3.2384128,14/06/2010,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
165,Western Terrace,EH12 5QD,15,55.9447673,-3.2482319,03/09/2008,3,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0
166,Scotstoun Green Sq Ferry,EH1 3EG,6,55.953252,-3.188267,27/01/2011,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
167,Moredun Dykes Road,EH17 8PT,16,55.9059501,-3.1380525,16/12/2008,3,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0
168,Wardie House Lane,EH5 3RL,7,55.9795937,-3.213892,29/04/2008,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
169,Westerhailes Park,EH14 3AG,10,55.9137886,-3.2783014,,2,2,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,1,0
170,Marchall Place,EH8 9BJ,17,55.9457401,-3.1866497,05/02/2011,3,1,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
171,Church Hill Place,EH10 4BD,3,55.9321571,-3.2094347,03/11/2009,2,1,1,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0
172,Craigmount Loan,EH12 8DJ,9,55.9506819,-3.2991709,09/09/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
173,Wolrige Road,EH16 6HX,16,55.9148725,-3.1637904,10/06/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
174,Riselaw Crescent,EH10 6HN,3,55.9127749,-3.2112559,18/06/2009,3,1,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
175,Ferry Road Place,EH4 4AX,7,55.9683032,-3.2460188,16/12/2009,2,1,1,2,1,2,1,0,0,1,0,0,0,1,0,1,0,0,0
176,Comiston Drive,EH10 5QS,3,55.9202418,-3.2169675,22/02/2011,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
177,Alderbank Terrace,EH11 1SZ,2,55.9312623,-3.2323928,25/02/2009,2,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
178,Hillend Place,EH8 7AE,1,55.9548893,-3.1513231,,3,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
179,Swanston Village,EH10 7DT,5,55.887753,-3.217244,11/02/2011,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
