Barnton Loan,,3,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Corslet Crescent,29/10/2010,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Oxgangs Broadway,25/02/2009,3,2,1,2,1,1,1,2,1,1,1,1,0,1,0,0,0,1,0
Wardieburn Place South,30/06/2009,3,2,1,1,2,2,1,0,0,1,0,1,1,1,0,0,0,1,0
Hallcroft Rise,,3,1,1,1,1,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Broad Wynd,08/09/2009,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1
Buckstone Green,28/04/2008,3,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Blackford Road,27/01/2011,3,1,1,1,1,3,1,0,0,0,1,1,1,1,0,1,0,0,0
Salvesen Street,25/02/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Craighouse Avenue,15/10/2010,3,2,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,1,0
Strachan Gardens,02/02/2011,3,1,1,1,2,2,1,0,0,0,1,0,1,1,0,0,0,0,0
Albert Place,,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Burnets Close,,1,2,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
West Werberside,26/06/2010,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Kerr Street,21/10/2008,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Academy Street,29/04/2010,2,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Meadowfield Gardens,09/10/2008,3,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
Stuart Wynd,27/01/2011,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
St Leonards Bank,23/06/2010,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Carmel Road,27/01/2010,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Rowantree Grove,05/09/2008,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,1,0,0,0
Freelands Road,23/06/2009,4,1,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0
Argyle Place,17/09/2008,2,1,1,1,1,2,1,0,0,1,1,1,0,1,1,0,0,0,0
Seacot,25/02/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Redford Walk,09/09/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Currievale Drive,09/09/2009,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Alnwickhill Grove,24/06/2008,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Deanpark Court,10/06/2010,3,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Corstorphine House Terrace,24/06/2010,3,1,1,1,3,3,1,0,0,1,0,1,0,1,0,0,0,0,0
Browns Place,12/05/2008,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
Torphican Street,26/04/2010,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Street,30/06/2009,2,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Carricknowe Loan,17/06/2008,3,1,1,1,3,2,1,0,0,1,1,0,0,1,0,0,0,0,1
Great Stuart Street,30/10/2009,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0
Woodhall Avenue0,10/06/2010,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Figgate Street,16/06/2010,2,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Grove Street,18/09/2008,2,1,1,1,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0
Annandale Street Lane,26/06/2010,2,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Corstorphine Hill Avenue,24/06/2010,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Coben Road,15/10/2010,3,1,1,1,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0
Bruntsfield Place,18/08/2008,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Brunstane Crescent,24/06/2008,3,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
Richmond Place,16/12/2008,2,1,1,1,1,2,1,0,0,1,1,1,1,1,0,0,0,0,0
Ba;Green Road,27/01/2011,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Moredun Park Court,22/02/2011,3,1,1,1,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0
Warriston Farm Road,19/08/2008,4,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
Foulis Crescent ,17/06/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Woodhall Drive,11/02/2011,3,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Clarebank Crescent,16/12/2009,3,1,1,1,2,2,1,0,0,1,1,1,0,1,1,0,0,0,0
Haughhead Farm,17/06/2009,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Echline Gardens,24/06/2010,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
North Street Ratho,10/06/2010,3,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Maxwell Street,09/10/2008,2,1,1,1,2,2,1,2,0,1,0,0,0,1,0,0,0,0,0
Campbell Park Drive,29/10/2010,3,1,1,1,2,3,1,0,0,1,0,1,0,1,0,0,0,0,0
Hillside Crescent,30/06/2009,2,1,1,1,2,1,1,0,0,1,0,1,1,1,0,1,0,0,0
Cleikiminrig,24/06/2008,3,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Spa Place,29/10/2009,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Buccleuch Street,27/01/2011,2,1,1,1,2,2,2,0,0,1,0,1,1,1,0,0,0,0,0
Muirhouse Drive,04/09/2008,2,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Bingham Avenue,08/09/2009,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Hillview Road,09/09/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Beresford Place,29/04/2010,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Kirk Cramond,12/06/2009,3,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
Piershill Lane,25/06/2010,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Craigleith Hill,14/06/2010,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Western Terrace,03/09/2008,3,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0
Scotstoun Green Sq Ferry,27/01/2011,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Moredun Dykes Road,16/12/2008,3,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Wardie House Lane,29/04/2008,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Westerhailes Park,,2,2,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,1,0
Marchall Place,05/02/2011,3,1,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
