Carrick Knowe Road	EH12 7BL	6	55.9342475	-3.2720595	
Elliot Place	EH13 0PN	8	55.9152287	-3.2420967	
Craigcrook Terrace 	EH4 3PJ	5	55.9558668	-3.2602162	
Granton Crescent	EH5 1BL	4	55.9796738	-3.2260536	
Duddingston Rd West	EH15 3QE	14	55.9398973	-3.1448679	
Gullans Close	EH8 8JW	11	55.9499368	-3.1829239	
Roull Place	EH12 7JS	6	55.9359155	-3.2813623	
East Farm Of Gilmerton	EH17 8TG	16	55.9058624	-3.1297181	
Mearenside	EH12 8UQ	3	55.9508057	-3.3066978	
Gogarloch Bank	EH12 9LA	3	55.9359962	-3.3015766	
Salamander Yards 	EH6 7HB	13	55.9719654	-3.154419	
Pennywell Gardens	EH4 4NX	4	55.9722232	-3.256968	
Promenade Portobello	EH15 2EE	17	55.9522643	-3.1042156	
Greenend Drive	EH17 7QG	16	55.9134873	-3.1504382	
Redbraes Place	EH7 4LL	12	55.9687281	-3.1877647	
Granton Gardens	EH5 1AX	4	55.9768903	-3.2226865	
Silverknowes Avenue	EH4 5HU	1	55.9681971	-3.2744179	
Parkside	EH16 5XJ	15	55.9416094	-3.1733662	
Inverleith Terrace Grove	EH3 5NP	5	55.9632978	-3.2030013	
Campbell Road	EH12 6DT	6	55.9491625	-3.2471523	
Park Crescent	EH16 6JD	16	55.9133386	-3.1578508	
Arthur Street Lane	EH6 5DR	12	55.9648357	-3.1784584	
Longcrook	EH1 3EG	11	55.953252	-3.188267	
New Mart Place	EH14 1TX	9	55.9281552	-3.2492688	
Findhorn Place	EH9 2NS	15	55.933789	-3.1801299	
Dalgety Avenue	EH7 5UE	14	55.9579208	-3.1621618	
Buckstone Hill	EH10 6TH	8	55.9086686	-3.2015727	
Belvedere Park	EH6 4LR	4	55.9781189	-3.1964541	
Willowbrae Road	EH8 7JD	14	55.9507115	-3.1409042	
Parkhead Gardens	EH11 4SQ	7	55.9239762	-3.2763822	
West Craigs Crescent	EH12 8LY	3	55.941637	-3.3145425	
Whitehorse Close	EH99 1SP	11	55.9527542	-3.1756988	
Niddrie Farm Grove	EH16 4DX	17	55.9316356	-3.1338883	
Marchhall Crescent	EH16 5HL	15	55.9363533	-3.168549	
Pentland Avenue	EH13 0HY	8	55.9078668	-3.2633371	
Glenlee Gardens	EH8 7HG	14	55.9527885	-3.14976	
Rodney Street	EH7 4EL	5	55.9619217	-3.1956448	
Corstorphine Bank Drive	EH12 8RN	6	55.945607	-3.2899499	
Stirling Road	EH5 3JA	4	55.9768031	-3.2099361	
New Craighall Drive	EH21 8SG	17	55.9340909	-3.0900318	
South Gyle Mains	EH12 9ER	3	55.9347994	-3.298578	
Mentone Gardens	EH9 2DJ	15	55.9312525	-3.1726009	
Primrose Bank Road	EH5 3JQ	4	55.9789363	-3.2088198	
Featherhall Crescent South	EH12 7UL	6	55.9411418	-3.2900068	
High Street	 South Queensferry	EH1 1PD	11	55.9500811	-3.1882366
Thorntree Side	EH6 8FB	12	55.9665134	-3.1686508	
Hutchison Grove	EH14 1QR	9	55.9293437	-3.2431835	
Glenlee Avenue	EH8 7HQ	14	55.9530635	-3.1490592	
Iona Street	EH6 8SR	12	55.9636247	-3.17442	
Dovecot Road	EH12 7LE	6	55.9384992	-3.2829813	
Findlay Medway	EH7 6HE	14	55.9643271	-3.1489908	
Figgate Bank	EH15 1HX	17	55.9551416	-3.1122573	
Parkhead Place	EH11 4RQ	7	55.924771	-3.274556	
Craigleith Hill Gardens	EH4 2JJ	5	55.9594886	-3.2343384	
Meadow Place Rd	EH12 7QP	3	55.9374037	-3.2916098	
