Street Name,Date,Time,Grade,Zone,Dogfoul,Vandalism,Graffiti,Weeds,Detritus,Fly Posting,Bin Count,Number Overflowing,Smoking,Drinks,Confectionery,Fast Food,Pedestrian Individual,Business,Domestic,Construction,Animal Faeces,Other
Brunstane Crescent,24/06/2008,10:46,B,3,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
Durham Drive,24/06/2008,11:00,B,3,1,1,1,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0
Cleikiminrig,24/06/2008,11:05,B,3,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Greendykes Avenue,24/06/2008,11:50,C,2,1,1,1,3,2,1,0,0,0,1,1,1,1,1,0,0,0,0
Campbells Close,24/06/2008,08:40,B,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Thorntree Side,24/06/2008,08:49,B,3,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Sunnyside,24/06/2008,08:58,B,2,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Lochend Road,24/06/2008,09:55,B,4,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Loganlea Place,24/06/2008,10:05,B,3,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
New Tower Place,24/06/2008,10:20,B,2,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
Greendykes Loan,24/06/2008,11:52,A,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Craigmillar Park,24/06/2008,12:20,B,3,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Craigour Drive,24/06/2008,12:27,B,3,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
East Farm of Gilmerton,24/06/2008,12:36,B,3,1,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0
Moredun Park Loan,24/06/2008,13:10,B,3,1,1,1,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Hyvot Green,24/06/2008,13:20,B,3,1,1,1,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Alnwickhill Grove,24/06/2008,13:35,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Greenmantle Loan,24/06/2008,13:45,B,3,1,1,1,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0
Jean Armour Avenue,24/06/2008,13:50,B,3,1,1,1,3,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Priestfield Gardens,24/06/2008,14:05,B,3,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
St Margarets Road,24/06/2008,14:53,B,3,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Livingstone Place,24/06/2008,14:43,B,2,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Ravelston Terrace,11/06/2008,08:00,B,3,1,1,1,2,2,1,0,0,1,1,1,1,1,0,0,1,0,1
Blinkbonny Grove,11/06/2008,08:30,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Craigleithhill Green,11/06/2008,09:00,B,3,1,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1
Craigcrook Gardens,11/06/2008,10:00,B,3,1,1,1,3,2,1,0,0,1,0,1,1,1,0,0,0,0,0
Hill Park Green,11/06/2008,10:30,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
March Pines,11/06/2008,11:00,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Wardie Road,11/06/2008,14:50,B,3,1,1,1,3,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Wardie Steps,11/06/2008,15:10,D,3,1,1,1,4,3,1,0,0,1,1,1,1,1,1,1,0,1,0
Corbiehill Terrace,11/06/2008,11:25,B,3,1,1,1,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Easter Drylaw Gardens,11/06/2008,11:45,B,3,2,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0
Pennywell Grove,11/06/2008,13:00,C,2,2,1,1,3,2,1,0,0,1,1,1,1,1,0,1,0,1,0
Salveson Crescent,11/06/2008,13:25,B,3,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
West Pilton Crescent,11/06/2008,13:50,D,2,2,3,2,3,3,1,0,0,1,1,1,1,1,0,1,1,1,1
Boswell Crescent,11/06/2008,14:20,B,3,2,1,1,3,1,1,0,0,1,0,1,0,1,0,0,0,1,0
COWGATE,18/08/2008,09:40,B,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
KEIR STREET,18/08/2008,09:30,B,1,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
VICTORIA STREET AND STEPS,18/08/2008,09:35,A,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WHITEHOUSE CLOSE,18/08/2008,09:57,B,1,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
BARCLAY TERRACE,18/08/2008,11:55,B,2,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
BRUNTSFIELD PLACE,18/08/2008,12:00,B,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
CRAWFORD ROAD,18/08/2008,14:30,B,2,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
HARDWELL CLOSE,18/08/2008,10:05,B,2,1,1,1,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0
HIGH SCHOOL WYND,18/08/2008,09:50,B,2,1,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0
