199,Forrester Road,EH12 8AE,15,55.9444782,-3.2847275
200,Burdiehouse Street,EH17 8HA,16,55.8968439,-3.1562928
201,Blinkbonny Grove West,EH4 3HJ,4,55.9551788,-3.2420393
202,Kingsknowe Terrace,EH14 2JJ,10,55.9174013,-3.2621945
203,Nicolson Street,EH8 9DE,17,55.9455566,-3.1846324
204,South Lauder Road,EH9 2LJ,17,55.9307846,-3.1820111
205,Durham Drive,EH15 1PQ,11,55.943939,-3.1207926
206,Pentland View,EH10 6PS,5,55.9080028,-3.212966
207,Wester Drylaw Avenue,EH4 2UE,4,55.9636336,-3.2516393
208,Main Street Ratho,EH28 8RB,10,55.9220141,-3.3791269
209,Saughton Park,EH12 5TQ,15,55.9412729,-3.2533495
210,Leamingston Terrace,EH10 4JL,3,55.9390276,-3.2078757
211,Boswall Terrace,EH5 2EL,7,55.9741513,-3.2221914
212,Carrick Knowe Road,EH12 7BL,15,55.9342475,-3.2720595
213,Elliot Place,EH13 0PN,5,55.9152287,-3.2420967
214,Craigcrook Terrace ,EH4 3PJ,4,55.9558668,-3.2602162
215,Granton Crescent,EH5 1BL,7,55.9796738,-3.2260536
216,Duddingston Rd West,EH15 3QE,1,55.9398973,-3.1448679
217,Gullans Close,EH8 8JW,6,55.9499368,-3.1829239
218,Roull Place,EH12 7JS,15,55.9359155,-3.2813623
219,East Farm Of Gilmerton,EH17 8TG,16,55.9058624,-3.1297181
220,Mearenside,EH12 8UQ,9,55.9508057,-3.3066978
221,Gogarloch Bank,EH12 9LA,9,55.9359962,-3.3015766
222,Salamander Yards ,EH6 7HB,8,55.9719654,-3.154419
223,Pennywell Gardens,EH4 4NX,7,55.9722232,-3.256968
224,Promenade Portobello,EH15 2EE,11,55.9522643,-3.1042156
225,Greenend Drive,EH17 7QG,16,55.9134873,-3.1504382
226,Redbraes Place,EH7 4LL,12,55.9687281,-3.1877647
227,Granton Gardens,EH5 1AX,7,55.9768903,-3.2226865
228,Silverknowes Avenue,EH4 5HU,14,55.9681971,-3.2744179
229,Parkside,EH16 5XJ,17,55.9416094,-3.1733662
230,Inverleith Terrace Grove,EH3 5NP,4,55.9632978,-3.2030013
231,Campbell Road,EH12 6DT,15,55.9491625,-3.2471523
232,Park Crescent,EH16 6JD,16,55.9133386,-3.1578508
233,Arthur Street Lane,EH6 5DR,12,55.9648357,-3.1784584
234,Longcrook,EH1 3EG,6,55.953252,-3.188267
235,New Mart Place,EH14 1TX,2,55.9281552,-3.2492688
236,Findhorn Place,EH9 2NS,17,55.933789,-3.1801299
237,Dalgety Avenue,EH7 5UE,1,55.9579208,-3.1621618
238,Buckstone Hill,EH10 6TH,5,55.9086686,-3.2015727
239,Belvedere Park,EH6 4LR,7,55.9781189,-3.1964541
240,Willowbrae Road,EH8 7JD,1,55.9507115,-3.1409042
241,Parkhead Gardens,EH11 4SQ,13,55.9239762,-3.2763822
242,West Craigs Crescent,EH12 8LY,9,55.941637,-3.3145425
243,Whitehorse Close,EH99 1SP,6,55.9527542,-3.1756988
244,Niddrie Farm Grove,EH16 4DX,11,55.9316356,-3.1338883
245,Marchhall Crescent,EH16 5HL,17,55.9363533,-3.168549
246,Pentland Avenue,EH13 0HY,5,55.9078668,-3.2633371
247,Glenlee Gardens,EH8 7HG,1,55.9527885,-3.14976
248,Rodney Street,EH7 4EL,4,55.9619217,-3.1956448
249,Corstorphine Bank Drive,EH12 8RN,15,55.945607,-3.2899499
250,Stirling Road,EH5 3JA,7,55.9768031,-3.2099361
251,New Craighall Drive,EH21 8SG,11,55.9340909,-3.0900318
252,South Gyle Mains,EH12 9ER,9,55.9347994,-3.298578
253,Mentone Gardens,EH9 2DJ,17,55.9312525,-3.1726009
254,Primrose Bank Road,EH5 3JQ,7,55.9789363,-3.2088198
255,Featherhall Crescent South,EH12 7UL,15,55.9411418,-3.2900068
256,Thorntree Side,EH6 8FB,12,55.9665134,-3.1686508
257,Hutchison Grove,EH14 1QR,2,55.9293437,-3.2431835
258,Glenlee Avenue,EH8 7HQ,1,55.9530635,-3.1490592
259,Iona Street,EH6 8SR,12,55.9636247,-3.17442
260,Dovecot Road,EH12 7LE,15,55.9384992,-3.2829813
261,Findlay Medway,EH7 6HE,1,55.9643271,-3.1489908
262,Figgate Bank,EH15 1HX,11,55.9551416,-3.1122573
263,Parkhead Place,EH11 4RQ,13,55.924771,-3.274556
264,Craigleith Hill Gardens,EH4 2JJ,4,55.9594886,-3.2343384
265,Meadow Place Rd,EH12 7QP,9,55.9374037,-3.2916098
266,North Bughtlin Brae,EH12 8XH,9,55.954573,-3.3039958
267,Madeira Place,EH6 4AN,8,55.9756224,-3.1832822
268,Lanark Road West,EH14 5EN,10,55.9020103,-3.2888302
269,Ferry Gair Drive,EH4 4GJ,7,55.966821,-3.2605078
270,Wardieburn Place West,EH5 1EE,7,55.9776417,-3.2289001
271,St Leonard'S Hill,EH8 9RZ,17,55.9438716,-3.1787452
272,Craighall Avenue,EH6 4RP,7,55.9760288,-3.1958736
273,Murieston Terrace,EH11 2LH,13,55.9401264,-3.2263845
274,Relugas Gardens,EH9 2PU,17,55.9302618,-3.1789397
275,Chancelot Terrace,EH5 3AA,4,55.9721422,-3.1975593
276,Broombank Terrace,EH12 7NY,15,55.9336196,-3.28327
277,Crarae Avenue ,EH4 3JD,4,55.9512925,-3.234979
278,Old Liston Road,EH28 8SJ,14,55.939492,-3.4079927
279,Cramond Green,EH4 6NJ,14,55.9748295,-3.3000075
280,Gilmore Place Lane,EH3 9RQ,2,55.9417123,-3.2078193
281,Meadowfield Terrace,EH8 7PD,1,55.9444756,-3.1411191
282,North Bank Street,EH1 2NE,6,55.9499731,-3.1940404
283,Greenend Gardens,EH17 7QH,16,55.9132509,-3.1497282
284,Pinkhill,EH12 7FA,15,55.9412308,-3.2667091
285,Cockburn Street,EH1 1NY,6,55.9506139,-3.1900501
286,Kilchurn Court,EH12 8GH,9,55.9473415,-3.3079629
287,Balgreen Road,EH12 5XE,15,55.9389459,-3.2513847
288,Walker Drive,EH30 9RS,14,55.9903197,-3.4087762
289,Dinnies Close,EH1 3EG,6,55.953252,-3.188267
