Portsburgh Square
Lady Raod
Warriston Gardens
Goodtrees Gardens
Abercromby Place
St Giles Street
Hamilton Wynd
Duddingston Gardens South
Peatville Terrace
Ryehill Gardens
Lawson Crescent
Haillesland Gardens 
Lasswade Bank
Meadowfield Avenue
Semple Street
South Charlotte Lane (Randolph Lane)
Elder Street
Carfrae Road
Torphin Road
Dundas Avenue
East Terrace
Lady Stair'S Close
Buskstone Road
Craiglockhart Place
Echline Park
Southhouse Walk
Burdiehouse Drive
Sunnybank
Orchard Road
Redhall Road
Easter Drylaw Loan
Regent Street Lane
Roseburn Terrace
Hill Park Green
Redhall House Dr
Bramdean View
Granton Park Avenue
Craigleith Hill Avenue
Balckford Road
Lee Crescent
Hutchison Road
Munro Drive
Hawthornbank Lane To Bells Brae
Klondyke Street
Gilmore Park
Pipe Street
Clovenstone Gardens
Laverock Bank Avenue - South
Roseburn Cliff
Priestfield Gardens
Churchhill Place
Eltringham Terrace
Muirwood Crescent
Barntalloch Court
Kingsburgh Crescent
Chuckie Pend
Lower Joppa
Telford Gardens
Bellfield Terrace
Craiglockhart View
Baberton Crescent
Peffer Place
Pier Place
Blinkbonny Road
The Green
Sleigh Drive
Belgrave Place
Montgomery Place West
Baronscourt Terrace
Dryden Place
York Place
South Learmonth Avenue
Craigleith Crescent
Saughtonhall Circus
East Camus Place
Stark'S Cottages
Dreghorn Link
Cairns Gardens, Balerno
Parkhead Grove
Greenside Lane
Barntongate Drive
Priestfield Crescent
Priesthill Street
Shore Road
Stenhouse Street West
Redford Road
Dublin Street Lane
Moston Terrace
Meadowfield Court
Stewart Avenue
Eastfield
Prince Regent Street
Duke Place
Lovedale Crescent
Saughton Road North
Moredunvale View 23 - Moredun Park Gardens 32, Path
Cambridge Gardens
Sleigh Gardens
Alan Breck Gardens
Ferniehill Drive
Leven Terrace
Roseneath Terrace
Craigievar Wynd, Kilchurn Court
Parkgrove Terrace 
Quarry Close
Portland Terrace
Auldgate Kirkliston
Colinton Road
Ferry Road Drive
Heriot Place
Pennywell Cottages
Crown Street
North Leith Mill
Cammo Road
Craighouse Terrace
Lower Granton Road
Hope Street Lane
Laurel Terrace
The Vennel
Waverley Park Terrace
Frederick Street
Cramond Avenue
Hyvot Green
Craigmount Gardens
Upper Dean Terr
Moredunvale Loan Path
Buckstone Gardens
Hailesland Place
Dewar Place Lane
Colinton Grove West
Southhouse Crescent
St Margarets Road
Barony Street
Wilton Road
Greenbank Avenue
Coltbridge Gardens
Drum Brae Terrace
Observatory Road
Moredunvale View Path
Potter Row
Seafield Place
Winton Drive
St. Ninians Road
Learmonth Terrace Lane
Harrison Gardens
Maitland Road
Hallhead Road
House O'Hill Crescent
Scotsman Steps
Falcon Avenue
Dundas Place
Redhall Place
Forth Terrace
Hillview Cottages
Ravelrig Gait
South Gayfield Lane
Traquair Park West
West Pilton Drive
Greendykes Avenue
Marine Esplanade
Mayfield Gardens Lane
Elm Row
West Tollcross
Leadervale Terrace
March Pines
Gilmore Street
Lennox Street
Park Place
Craigs Grove
Forth Park
Cluny Gardens
Abbotsford Park
Broomhall Gardens 
Dania Court
Summerhall Square
Promenade Terrace
Hugh Miller Place
Dryden Street
Sheriff Brae
Whitehouse Road
Clermiston Hill
West End Place
Greenbank Drive
Findlay Avenue
Laverockdale Cres
Commercial Wharf
Ogilvie Terrace
Crawford Road
Orchard Brae
Greenbank Grove
Orchard Bank
Muirwood Grove
Hyvot Court
Silverknowes Road East
West Pilton Road
Duke Walk
Rosefield Street
Roseburn Drive
Coates Crescent
Calder Grove
Hardwell Close
East Fountainbridge
Hailes Street
Milton Drive
Falcon Gardens 
Ormidale Terrace
Shaws Square
Coltbridge Vale
Calder Place
Great Carleton Place
Grange Loan Gardens
Cherry Tree Grove
Trafalgar Lane
Joppa Pans
Duddingston Rise
Lanark Road West / Bridge Road Boundary
Belford Mews
Old Farm Place
Boswall Gardens
Cambridge Street
Candlemakers Crescent
Whitelea Crescent
Burgess Road
Saunders Court
Burnbrae
Bristo Square 
Gracemount Road
Ravelston Terrace
Meadowbank Crescent
Prospect Bank Crescent
Groathill Gardens West
Ferrt Gait Drive
South Maybury
Galachlaw Shot
Thistle Place
Robb'S Loan Grove
Hallyards Road
Raeburn Street
Dalrymple Crescent
Castlelaw Road
Marchbank Drive
Ramsay Lane
Hunters Close
Conference Square
Hillcoat Loan
Balbirnie Place
Hope Street
Mentone Avenue
Lauriston Park
Beechmount Crescent
Milton Road
March Grove
North Grays Close
Brae Park Road
Calton Road
Gordon Terrace
Janefield
Murieston Place
South Gyle Access
Ryehill Avenue
Frasergrove
Craigs Loan
Stenhouse Avenue
Currievale Park
Northumberland Street
Belford Terrace
William Street North East Lane
Southfield Farm Grove
Restalrig Park
Melville Terrace
Kirkhill Drive
Arboretum Avenue
Northumberland Street South East Lane
Borthwick Place
Whitehill Street
York Lane
Archibald Place
Maybury Road
Magdeline Medway
Broughton Street
Muirhouse Crescent
Murieston Lane
Deanpark 
Bankhead Medway0
Nellfield
Willowbrae Gardens
Telford Place
Stevenson Grove
Wester Drylaw Place
Westerbroom Avenue 
Blackford Avenue
South Beechwood
Malbet Wynd
Mortonhall Park Terrace
Kingsknowe Court
Long Dalmahoy Road
Warrender Park Terrace
Corbiehill Crescent
Newmills Avenue
East Comiston
North Gyle Loan
Bangholm Villas
Suffolk Road
Grosvenor Crescent 
Gillerhill
Pearce Avenue 
Durham Gardens North
Pilrig Street
Wolseley Place
Plewlands Avenue
Piersfield Grove
Rose Lane
Northcote Street
Kingston Avenue
Newbridge Industrial Estate
Braehead Bank
Abercorn Drive
Stewart Terrace Sq
Lochrin Place
Silverknowes Bank
Spencer Place
Comely Bank
Otterburn Park
St Catherines Place
Winton Park
Redhall Crescent
Ethel Terrace 
Mansfield Road
Ross Place
Millar Place
Gilmerton Road
Broomhouse Street South
Corstorphine Park Gardens
Pentland View Court
Westshore Road
Auchingane
Southhouse Place
Colmstone Gate
Broomhouse Way
Alexander Drive
Elliot Street
Cramond Terrace
Beaverbank Place
Kekewich Avenue
Citadel Street
Silver Knowes Court
Niddrie Mains Road
Quilts Wynd
Bonaly Brae
Milton Gardens South
Young Street Lane North
Addiston Farm Road
Stewart  Crescent 
Bristo Place
Essex Road
Park Avenue
Blackthorn Court
Wardie Square
Broomhouse Place South
Easter Drylaw Bank
St Ninians Row
Carnbee Crescent
Yewlands Crescent
Paisley Avenue
Northfield Circus
Glanville Place
Hermand Street
Comely Bank Row
Annfield Street
Kirk Brae
Cornhill Terrace
Gateside Road
Moray Park Terrace
Couper Street
Roseburn Street
Industrial Road
Waverley Park
Blinkbonny Grove
Milton Farm Road
Glenfinlas Street
Johnsburn Road
Western Harbour Breakwater
Corbieshot
Ashley Terrace
Larchfield
Thorburn Grove
Tyler'S Acre Avenue
Afton Terrace
Corbiewynd
West Craigie Farm Road
Loch Road
Clackmae Grove
Meadow Road
Murdonevale Grove
Hopetoune Crescent
Summertrees Court
Nether Currie Road
Easter Drylaw Gardens
Saughton Mains Avenue 
Newtoft Street
Murrayburn Park
Guthrie Street
Rosebery Crescent 
West Fairbrae Crescent
Britwell Crescent
Lauriston Place
Chesnut Street
Bogsmill Road
Willowbank Row
Meadowbank Avenue
Lambs Close
Campbell Avenue
St Margaret'S Road
Durham Road South
Bughtlin Drive
Christie Miller Avenue
Hamilton Terrace
Meggetland Wynd
Scotstoun Avenue
Liberton Brae
Hayfield
Riccaron Crescent
Glenvarloch Crescent
Belgrave Road
Woodfield Park
Brandfield Street
North Gyle Farm Court
Northfield Square
Mountcastle Crescent 164 - Mountcastle Terrace 97, Path
The Causeway
Clerwood Way
Lily Terrace
Cherry Tree Park
Glendevon Grove
Carfrae Gardens
South Gyle Wynd
Carlyle Place
Western Place
Oxgangs Road North
Newhalls Road
Latch Park
Malleny Avenue 
Bankhead Grove
Gladstones Close
Foulis Crescent
St. John'S Avenue
Gimerton Dykes Avenue
Parliament Street
Manse Road
Meadowfield Drive
Newmains Farm Lane
Pentland Place
John Mason Court
Charterhall Road
Broomhall Road
Dalgety Street
Panmure Place
Learmonth View
Restalrig Square
High Riggs
Carlton Terrace Lane
Corbiehill Place
Essendean Terrace
Corrennie Drive
Ferieside Place
Ratcliffe Terrace
Cluny Drive
Niddrie House Avenue
Hawthornbank Lane
Mortonhall Park Crescent
Buckstone Dell
Northumberland South West Lane
Calder Road
Gardners Crescent 
West Port
Ellersly Road
Craigleith Hill Loan
Niddrie Mains Rd
Castlepark Gait
Loganlea Terrace
New Broompark
Glenisla Gardens
Wester Hailes Road
Grange Road
Lochrin Terrace
Saxe Coburg Street
Craigcrook Gardens
East Savile Road
Ingarvie Court
Craigleith Avenue South
Manse Street
Drylaw Gardens
Ventnor Terrace
Balcarres Court
Fishwives Causeway
Mayfield Terrace
Longstone View
Bankhead Road
Broughton Place Lane
Kirkhill Road
Huly Hill Road
Campbells Close
Tweedale Court
Tarvit Street
Eden Lane
Dumbryden Gardens
Craighall Terrace
Newhaven Road
St Davids Place
Bangholm View
Redbraes Grove
Montagu Terrace
South St. David Street
Thriepmuir Avenue
Fox Street
Longstone Grove
Northfield Farm Avenue
Robert Burns Drive
Marshall Court
Gayfield Place
Hillside Street
Gilmerton Dykes Place
Ladywell Road
Walkers Court
Barclay Terrace
Dublin Meuse
Haddington Place
Parrotshot
Gilmerton Dykes Street
Chalmers Buildings
Pilrig House Close
Boswall Drive
Wardie Road
Broomhouse Row
Nigel Loan
North Bughtlin Gate
Whitson Grove
Craigentinny Crescent
Craigmount Terrace
Manor Place
Whitelea Road
Craigmillar Castle L
Avenal
Northfield Crescent
Sydney Place
Fernieside Grove
Oxgangs Place
Summerfield Place
Ferry Road - Shops Service Road
Stanley Road
Jean Armour Avenue
Elm Place
Ulster Gardens
Brunstane Road North
Belgrave Crescent Lane
East Hermiston
Colinton Mains Drive
The Murrays
Backlee
Milton Road East
Silverknowes Hill
Royston Mains Terrace
Whitehouse Terrace
Washington Lane
Davie Street
Craigleigh Rise
Avon Road
Pennywell Grove
Drumsheugh Gardens
Marionville Grove
Wilkieston Road
Reids Court
Queensferry Road
Bangholm Park
Carberry Place
